task_id,system,model_id,seed,n_calls,in_tok,fresh_tok,out_tok
C04_spatial_trajectory_stt,deepseek_omicverse,deepseek-v4-pro,1,22,670995,59817,11650
E05_bulk_metabol_multivariate,deepseek_omicverse,deepseek-v4-flash,1,17,252523,29903,5558
A05_leiden_clustering,deepseek_omicverse,deepseek-v4-flash,2,5,24403,6187,1838
B03_diff_expression,deepseek_omicverse,deepseek-v4-pro,0,13,267868,31332,9160
C01_visium_spatial_domain,deepseek_omicverse,deepseek-v4-pro,1,28,1605568,237594,12279
F02_multi_method_trajectory,deepseek_omicverse,deepseek-v4-flash,2,9,189358,33265,4471
B01_full_pipeline,deepseek_omicverse,deepseek-v4-pro,0,14,418324,43817,13248
C05_spatial_celltype_deconvolution,deepseek_omicverse,deepseek-v4-pro,0,16,333418,41481,8635
L04_foundation_model_perturbation_response,deepseek_omicverse,deepseek-v4-pro,0,80,2761425,77317,35681
L03_foundation_model_zero_shot_inference,deepseek_omicverse,deepseek-v4-flash,1,48,1922099,81615,17859
L04_foundation_model_perturbation_response,deepseek_omicverse,deepseek-v4-pro,2,53,1527828,64652,24088
E03_bulk_de_multi_method,deepseek_omicverse,deepseek-v4-pro,0,13,150383,18282,5864
C02_visium_hd_svg,deepseek_omicverse,deepseek-v4-flash,0,21,460750,31278,9924
A04_pca_neighbors_umap,deepseek_omicverse,deepseek-v4-flash,2,6,105913,29048,2534
G03_16s_ordination_pcoa,deepseek_omicverse,deepseek-v4-pro,2,16,343645,32270,5866
E01_bulk_deconvolution,deepseek_omicverse,deepseek-v4-pro,2,13,592658,125420,6097
L03_foundation_model_zero_shot_inference,deepseek_omicverse,deepseek-v4-flash,0,32,736178,37964,13779
C05_spatial_celltype_deconvolution,deepseek_omicverse,deepseek-v4-flash,0,13,317622,36521,5370
B11_scrna_cell_cell_communication,deepseek_omicverse,deepseek-v4-flash,1,22,289942,31754,19720
G05_phylogenetic_diversity,deepseek_omicverse,deepseek-v4-flash,0,11,130591,22984,16472
E06_pathway_enrichment,deepseek_omicverse,deepseek-v4-pro,1,16,378924,38097,8888
G03_16s_ordination_pcoa,deepseek_omicverse,deepseek-v4-flash,2,9,99040,19081,4186
C02_visium_hd_svg,deepseek_omicverse,deepseek-v4-pro,0,30,986762,62610,16267
E05_bulk_metabol_multivariate,deepseek_omicverse,deepseek-v4-flash,2,16,335661,36237,5746
C04_spatial_trajectory_stt,deepseek_omicverse,deepseek-v4-pro,2,22,881701,67711,10642
C02_visium_hd_svg,deepseek_omicverse,deepseek-v4-flash,2,13,232715,28398,4851
B09_cnmf_gene_programs,deepseek_omicverse,deepseek-v4-pro,2,28,548320,36430,8229
A05_leiden_clustering,deepseek_omicverse,deepseek-v4-pro,0,8,340255,141297,3492
B03_diff_expression,deepseek_omicverse,deepseek-v4-flash,0,11,268171,34792,6156
F03_paga_pseudotime,deepseek_omicverse,deepseek-v4-pro,1,18,429991,32850,8147
E04_bulk_wgcna,deepseek_omicverse,deepseek-v4-flash,2,50,1885627,79636,29858
E06_pathway_enrichment,deepseek_omicverse,deepseek-v4-pro,2,17,403835,39996,10408
G05_phylogenetic_diversity,deepseek_omicverse,deepseek-v4-flash,1,15,212414,22556,7506
E05_bulk_metabol_multivariate,deepseek_omicverse,deepseek-v4-pro,2,21,304356,24007,6019
B04_multi_method_batch_correction,deepseek_omicverse,deepseek-v4-flash,2,19,335655,26782,8504
B10_gene_regulatory_network,deepseek_omicverse,deepseek-v4-pro,0,25,3872255,246803,12286
L01_foundation_model_cell_embedding,deepseek_omicverse,deepseek-v4-pro,0,22,379061,35973,6411
L03_foundation_model_zero_shot_inference,deepseek_omicverse,deepseek-v4-pro,2,50,1367312,56762,16562
F03_paga_pseudotime,deepseek_omicverse,deepseek-v4-flash,0,16,314018,30594,12017
C03_spatial_ccc,deepseek_omicverse,deepseek-v4-flash,0,25,1053397,63455,8767
G04_16s_taxonomic_collapse,deepseek_omicverse,deepseek-v4-flash,1,5,27269,7588,2939
A05_leiden_clustering,deepseek_omicverse,deepseek-v4-flash,1,7,61861,12888,3865
E05_bulk_metabol_multivariate,deepseek_omicverse,deepseek-v4-flash,0,19,283382,26954,7606
B01_full_pipeline,deepseek_omicverse,deepseek-v4-pro,2,29,765192,45131,13317
B04_multi_method_batch_correction,deepseek_omicverse,deepseek-v4-pro,1,13,192741,23267,7667
B03_diff_expression,deepseek_omicverse,deepseek-v4-flash,2,13,328098,36150,6779
B08_aucell_pathway_scoring,deepseek_omicverse,deepseek-v4-pro,1,7,53660,11577,3406
E05_bulk_metabol_multivariate,deepseek_omicverse,deepseek-v4-pro,1,20,322600,27378,6583
B01_full_pipeline,deepseek_omicverse,deepseek-v4-flash,0,16,429584,44292,10645
L02_foundation_model_celltype_annotation,deepseek_omicverse,deepseek-v4-pro,2,31,444146,34838,8762
G02_multi_method_da,deepseek_omicverse,deepseek-v4-flash,2,9,148317,29695,8541
C04_spatial_trajectory_stt,deepseek_omicverse,deepseek-v4-pro,0,39,1353726,60214,19974
L01_foundation_model_cell_embedding,deepseek_omicverse,deepseek-v4-pro,1,16,255634,29124,4918
G01_16s_diversity,deepseek_omicverse,deepseek-v4-flash,2,7,61031,13658,3063
B06_reference_annotation,deepseek_omicverse,deepseek-v4-pro,0,15,274830,29040,9896
A03_hvg,deepseek_omicverse,deepseek-v4-pro,0,6,96802,20521,2208
B05_multi_method_annotation,deepseek_omicverse,deepseek-v4-pro,0,25,794088,55085,11304
F02_multi_method_trajectory,deepseek_omicverse,deepseek-v4-flash,0,10,159642,28696,5604
B01_full_pipeline,deepseek_omicverse,deepseek-v4-flash,2,17,690057,59685,10732
G02_multi_method_da,deepseek_omicverse,deepseek-v4-pro,2,21,505719,36730,9587
L02_foundation_model_celltype_annotation,deepseek_omicverse,deepseek-v4-pro,1,37,621767,39713,9014
B12_metacells_aggregation,deepseek_omicverse,deepseek-v4-flash,0,18,427675,45288,5308
E04_bulk_wgcna,deepseek_omicverse,deepseek-v4-pro,2,28,579416,39600,11938
A03_hvg,glm_baseline,glm-5.1,0,12,45535,6008,3094
F04_multi_backend_pseudotime,glm_baseline,glm-5.1,2,16,174346,23684,16159
L01_foundation_model_cell_embedding,glm_baseline,glm-5.1,1,50,1424696,70200,4889
E04_bulk_wgcna,glm_baseline,glm-5.1,0,8,58819,15023,9775
E05_bulk_metabol_multivariate,glm_baseline,glm-5.1,1,10,75730,12515,5321
B08_aucell_pathway_scoring,glm_baseline,glm-5.1,1,8,36545,7103,4075
G01_16s_diversity,glm_baseline,glm-5.1,0,7,34134,7775,3380
L03_foundation_model_zero_shot_inference,glm_baseline,glm-5.1,2,45,617664,28093,14233
G05_phylogenetic_diversity,glm_baseline,glm-5.1,2,35,685704,36827,10334
B09_cnmf_gene_programs,glm_baseline,glm-5.1,1,8,65726,11217,9097
A05_leiden_clustering,glm_baseline,glm-5.1,0,4,9306,3466,1990
E07_ppi_network,glm_baseline,glm-5.1,2,15,129771,17859,11955
B04_multi_method_batch_correction,glm_baseline,glm-5.1,1,11,70256,10256,4919
B11_scrna_cell_cell_communication,glm_baseline,glm-5.1,1,37,643273,60933,10418
A02_normalize_log,glm_baseline,glm-5.1,0,6,12165,3100,2001
E05_bulk_metabol_multivariate,glm_baseline,glm-5.1,0,8,26515,6043,2070
E03_bulk_de_multi_method,glm_baseline,glm-5.1,1,4,14098,5791,2935
C05_spatial_celltype_deconvolution,glm_baseline,glm-5.1,1,7,44026,9111,2289
G03_16s_ordination_pcoa,glm_baseline,glm-5.1,0,12,73109,10288,5141
A05_leiden_clustering,glm_baseline,glm-5.1,2,4,11149,4320,2523
F03_paga_pseudotime,glm_baseline,glm-5.1,0,8,27469,6414,3762
G04_16s_taxonomic_collapse,glm_baseline,glm-5.1,1,16,218350,24290,9668
L04_foundation_model_perturbation_response,glm_baseline,glm-5.1,1,32,358990,25704,15280
F04_multi_backend_pseudotime,glm_baseline,glm-5.1,0,12,108993,17549,12452
B03_diff_expression,glm_baseline,glm-5.1,0,22,298907,26395,14254
E07_ppi_network,glm_baseline,glm-5.1,0,17,127200,16192,10222
L04_foundation_model_perturbation_response,glm_baseline,glm-5.1,0,50,863017,73059,22360
B11_scrna_cell_cell_communication,glm_baseline,glm-5.1,2,12,72073,15556,6468
E06_pathway_enrichment,glm_baseline,glm-5.1,0,14,102164,15563,10037
E04_bulk_wgcna,glm_baseline,glm-5.1,1,12,78966,15443,11380
B03_diff_expression,glm_baseline,glm-5.1,2,43,538347,25417,15391
A01_qc_filter,glm_baseline,glm-5.1,2,18,210280,17116,10731
B01_full_pipeline,glm_baseline,glm-5.1,0,8,23762,6286,3603
B06_reference_annotation,glm_baseline,glm-5.1,2,9,106514,18964,14065
C02_visium_hd_svg,glm_baseline,glm-5.1,2,25,183743,17515,8921
B05_multi_method_annotation,glm_baseline,glm-5.1,0,19,127841,12270,5744
F04_multi_backend_pseudotime,glm_baseline,glm-5.1,1,8,48677,11715,8435
F01_multi_mode_velocity,glm_baseline,glm-5.1,2,20,274019,22829,16739
B09_cnmf_gene_programs,glm_baseline,glm-5.1,2,10,64859,9485,7012
B03_diff_expression,glm_baseline,glm-5.1,1,43,669026,28747,19803
B06_reference_annotation,glm_baseline,glm-5.1,1,14,164209,20147,12259
A03_hvg,glm_baseline,glm-5.1,1,2,3086,2172,1255
A04_pca_neighbors_umap,glm_baseline,glm-5.1,2,2,2638,1701,616
F01_multi_mode_velocity,glm_baseline,glm-5.1,1,6,36480,10624,3829
C01_visium_spatial_domain,glm_baseline,glm-5.1,1,39,742669,35100,22925
C05_spatial_celltype_deconvolution,glm_baseline,glm-5.1,0,13,128364,24578,13016
B02_subset_recluster,glm_baseline,glm-5.1,1,4,7271,2587,834
L02_foundation_model_celltype_annotation,glm_baseline,glm-5.1,2,50,1183770,43821,16551
B02_subset_recluster,glm_baseline,glm-5.1,0,5,11741,3965,1921
F02_multi_method_trajectory,glm_baseline,glm-5.1,2,11,117474,14687,11259
B01_full_pipeline,glm_baseline,glm-5.1,1,13,110625,16524,12609
C04_spatial_trajectory_stt,glm_baseline,glm-5.1,1,8,38501,9801,4313
B04_multi_method_batch_correction,glm_baseline,glm-5.1,0,10,60099,10181,5673
B10_gene_regulatory_network,glm_baseline,glm-5.1,2,39,477783,35873,11841
F03_paga_pseudotime,glm_baseline,glm-5.1,2,4,11107,6634,4856
A05_leiden_clustering,glm_baseline,glm-5.1,1,7,28066,7646,4035
C02_visium_hd_svg,glm_baseline,glm-5.1,0,25,202223,19001,14354
E04_bulk_wgcna,glm_baseline,glm-5.1,2,9,77670,17591,11868
A01_qc_filter,glm_baseline,glm-5.1,0,13,91886,13968,6708
C04_spatial_trajectory_stt,glm_baseline,glm-5.1,2,9,40887,10794,5956
A04_pca_neighbors_umap,glm_baseline,glm-5.1,0,2,2326,1389,372
C01_visium_spatial_domain,glm_baseline,glm-5.1,2,35,542296,41151,23670
B10_gene_regulatory_network,glm_baseline,glm-5.1,0,45,529961,27187,15773
B02_subset_recluster,glm_baseline,glm-5.1,2,3,5572,3038,1567
L02_foundation_model_celltype_annotation,glm_baseline,glm-5.1,0,50,516227,24404,7823
G02_multi_method_da,glm_baseline,glm-5.1,1,29,272949,20436,8195
B08_aucell_pathway_scoring,glm_baseline,glm-5.1,2,5,16848,5180,3693
B05_multi_method_annotation,glm_baseline,glm-5.1,1,21,190468,23827,12903
B06_reference_annotation,glm_baseline,glm-5.1,0,6,30974,8895,3792
G04_16s_taxonomic_collapse,glm_baseline,glm-5.1,2,22,308055,22916,12881
L01_foundation_model_cell_embedding,glm_baseline,glm-5.1,0,50,1471430,66298,5934
A02_normalize_log,glm_baseline,glm-5.1,2,2,2514,1616,868
G04_16s_taxonomic_collapse,glm_baseline,glm-5.1,0,11,69084,8991,6327
G05_phylogenetic_diversity,glm_baseline,glm-5.1,0,22,241124,18514,8229
G01_16s_diversity,glm_baseline,glm-5.1,2,15,124117,13073,8747
E03_bulk_de_multi_method,glm_baseline,glm-5.1,0,10,84832,11032,9318
A02_normalize_log,glm_baseline,glm-5.1,1,5,9798,3287,1804
E05_bulk_metabol_multivariate,glm_baseline,glm-5.1,2,21,169441,13101,7507
